country,neighborhood,rural_urban,sex,age,family_type,family_size,mig_int_global,mig_plan_global,mig_prep_global,mig_int_dom,mig_plan_dom,mig_prep_dom,ppl_mig_num_5y,currency,exp_monthly_food,income_exp_month_food,income_month_avg,deposit_currency,monthly_income,CARI
GT,Aldea Sequixquib,1,1,44,2,3,1,0.0,,1,0.0,,0,3,400,99,99,,,3
GT,Las tablas,1,2,52,1,9,1,1.0,0.0,1,1.0,0.0,2,3,1000,5,0,,,4
GT,Aldea las  tablas,1,1,14,1,6,1,0.0,,0,,,2,3,1000,1,0,,,3
GT,Caserio las Flores,1,2,65,1,5,1,1.0,0.0,1,0.0,,0,3,350,4,0,,,3
GT,Aldea San Rafael Soche,1,1,37,2,6,1,0.0,,0,,,1,3,1000,4,0,,,3
SLV,El nisperal,1,2,39,9,6,1,0.0,,0,,,0,1,70,5,99,,,3
SLV,Barrio la playa,2,1,23,1,5,1,0.0,,1,0.0,,0,1,300,2,1,1.0,250.0,3
SLV,Barrio la playa,2,1,27,2,3,1,0.0,,0,,,2,1,50,3,1,1.0,30.0,3
HND,Colonia Dionisio,2,1,52,2,1,1,0.0,,1,0.0,,1,2,600,2,1,2.0,8000.0,3
SLV,El Nisperal,1,1,49,2,4,1,0.0,,0,,,0,1,70,3,99,,,3
SLV,El Calvario,2,2,72,3,2,1,0.0,,0,,,1,1,50,3,0,,,3
SLV,El Calvario,2,1,50,2,3,1,0.0,,1,0.0,,0,1,120,5,99,,,3
GT,Colonia san José la Colonia,2,1,52,1,10,1,0.0,,0,,,0,3,800,5,0,,,3
GT,Zona 3,2,1,28,1,4,1,0.0,,1,0.0,,1,3,400,5,1,3.0,800.0,3
SLV,Lomas de Alarcon,1,1,44,1,6,1,0.0,,99,,,0,1,50,5,99,,,3
HND,El Pedernal,1,1,49,5,6,1,0.0,,0,,,2,2,4000,2,0,,,4
SLV,San Juan Buena Vista,1,1,48,2,2,1,0.0,,1,0.0,,0,1,84,3,1,1.0,100.0,3
SLV,San juan buena vista,1,1,31,1,5,1,0.0,,0,,,0,1,150,3,1,1.0,100.0,3
SLV,Canton san juan buena vista,1,1,35,1,4,1,0.0,,0,,,0,1,150,5,1,1.0,150.0,3
HND,Invasión Alturas Celestiales,2,1,39,5,2,1,1.0,1.0,0,,,1,2,3000,5,1,2.0,4700.0,4
HND,Dulce nombre,1,2,51,1,4,1,0.0,,1,0.0,,0,2,1500,3,0,,,3
HND,Dulce nombre,1,1,55,2,6,1,0.0,,0,,,1,2,3000,4,0,,,3
SLV,San francisco Echeverria,1,1,59,1,4,1,0.0,,1,0.0,,0,1,100,5,1,1.0,150.0,3
SLV,San Francisco Echeverria,1,1,30,2,6,1,0.0,,0,,,1,1,50,4,99,,,3
SLV,San Francisco Echeverria,1,2,26,1,6,1,0.0,,0,,,1,1,50,2,1,1.0,200.0,3
HND,Sabanagrande,2,2,24,2,4,1,0.0,,1,0.0,,0,2,500,5,99,,,3
SLV,Santa cruz Cunchique,1,2,54,1,2,1,1.0,0.0,1,1.0,0.0,2,1,100,5,1,1.0,100.0,3
GT,Barrio San José,2,1,39,2,2,1,0.0,,0,,,0,3,300,4,0,,,3
HND,El pedernal,1,2,27,1,5,1,1.0,1.0,0,,,1,2,4000,2,0,,,3
SLV,Canton san pedro,1,1,36,1,4,1,0.0,,0,,,1,1,60,5,0,,,3
SLV,Canton san pedro,1,1,27,1,5,1,0.0,,0,,,0,1,80,3,99,,,3
HND,Colonia Cerro Grande,2,1,78,2,2,1,0.0,,1,0.0,,0,2,0,5,0,,,4
HND,Caserio Agua Caliente,1,2,55,3,3,1,0.0,,0,,,0,2,500,5,0,,,3
HND,El pedernal,1,1,20,1,3,1,1.0,1.0,0,,,0,2,3000,2,0,,,3
SLV,Cerron grande,1,1,38,1,2,1,0.0,,0,,,0,1,15,5,1,1.0,30.0,3
HND,Apacinigua,1,1,42,5,8,1,0.0,,1,0.0,,0,2,2500,5,99,,,3
HND,Apacinigua,1,1,45,1,5,1,0.0,,1,0.0,,1,2,1800,4,99,,,3
HND,Apasinigua,2,1,19,4,4,1,0.0,,0,,,0,2,1800,5,99,,,3
SLV,Santa lucia,1,1,28,2,3,1,0.0,,0,,,0,1,60,5,99,,,3
GT,LOS ARCOS,1,1,41,1,4,1,0.0,,0,,,1,3,150,3,0,,,2
GT,LOS ARCOS,1,2,50,1,4,1,0.0,,1,0.0,,0,3,150,5,0,,,3
GT,Canton las tablas,1,1,30,1,8,1,1.0,1.0,0,,,0,3,800,4,1,3.0,1300.0,2
GT,Tonina,1,2,70,1,3,1,0.0,,1,1.0,0.0,0,3,600,2,0,,,2
GT,Nueva reforma majadas,1,1,19,5,5,1,0.0,,1,0.0,,0,3,300,3,1,3.0,800.0,2
GT,Nueva Reforma Majada,1,2,41,1,7,1,0.0,,99,,,0,3,100,1,0,,,3
GT,Nueva reforma majada,1,1,30,1,6,1,0.0,,0,,,2,3,700,1,1,3.0,1400.0,3
GT,"Canton nueva reforma, Aldea Majadas.",1,2,45,9,3,1,1.0,99.0,99,,,0,3,1000,2,1,3.0,1400.0,3
GT,PEB'IL PAM,1,1,39,4,6,1,0.0,,1,0.0,,0,3,800,3,1,3.0,1200.0,2
GT,CASA GRANDE,2,1,30,2,3,1,0.0,,0,,,0,3,400,2,1,3.0,800.0,3
GT,Tajumulco,2,2,24,1,5,1,1.0,0.0,1,1.0,0.0,1,3,200,5,0,,,3
GT,Tajumulco,2,2,60,1,3,1,0.0,,1,1.0,0.0,0,3,200,1,1,3.0,800.0,3
GT,Aldea Las lagunas,1,1,56,1,4,1,0.0,,1,1.0,0.0,1,3,150,2,0,,,2
GT,Ixmoco,1,1,45,1,7,1,0.0,,0,,,0,3,1200,2,0,,,3
GT,Caserio ixmoco,1,1,35,1,4,1,0.0,,0,,,0,3,200,5,1,3.0,600.0,3
GT,Ixmoco,1,1,29,1,6,1,0.0,,0,,,1,3,1200,4,1,3.0,1000.0,3
GT,La Trinidad,1,2,50,2,4,1,0.0,,1,0.0,,0,3,1500,5,0,,,3
GT,La Trinidad,1,2,44,5,13,1,1.0,1.0,1,0.0,,0,3,1300,5,0,,,3
GT,Las flores,1,1,23,1,9,1,0.0,,0,,,0,3,1200,3,1,3.0,1700.0,3
GT,Las flores,1,1,59,2,8,1,1.0,0.0,1,0.0,,0,3,800,3,0,,,2
GT,CONCEPCION HUISTA,2,1,43,1,6,1,1.0,0.0,0,,,2,3,350,1,0,,,3
SLV,El cerrito,1,1,46,5,6,1,0.0,,1,0.0,,1,1,25,5,1,1.0,80.0,3
SLV,San marcos lempa,1,2,50,1,3,1,0.0,,0,,,0,1,50,3,1,1.0,250.0,3
GT,Qurtzaltepeque,2,2,47,1,2,1,0.0,,0,,,0,3,300,4,1,3.0,1500.0,3
GT,SAN JUAN IXCOY,2,2,30,5,6,1,1.0,1.0,0,,,2,3,1000,3,1,3.0,2500.0,3
GT,SAN JUAN IXCOY,2,1,18,7,7,1,0.0,,0,,,0,3,1000,5,99,,,3
GT,SAN JUAN IXCOY,2,1,22,5,8,1,0.0,,0,,,0,3,250,5,99,,,2
GT,San jose el rodeo,2,1,38,1,7,1,0.0,,0,,,0,3,300,5,1,3.0,300.0,3
SLV,Tierra blanca,1,2,52,1,5,1,0.0,,1,0.0,,1,1,100,5,0,,,3
SLV,Tierra blanca,1,1,64,1,2,1,0.0,,0,,,0,1,100,5,0,,,2
SLV,Barrio la playa,2,1,45,1,5,1,0.0,,0,,,2,1,200,2,1,1.0,200.0,3
SLV,Barrio la playa,2,1,55,2,3,1,0.0,,1,1.0,0.0,0,1,30,4,0,,,2
GT,TEMUX GRANDE,1,2,58,5,7,1,1.0,1.0,0,,,2,3,600,1,1,3.0,4000.0,2
GT,Caserio el Centro,1,1,25,5,6,1,0.0,,0,,,0,3,800,2,0,,,2
GT,Sector el Centro,1,1,39,1,5,1,1.0,0.0,1,0.0,,0,3,1500,2,0,,,3
GT,CHICOL,1,2,30,1,4,1,0.0,,0,,,0,3,1000,3,1,3.0,2500.0,3
GT,INCÚ,1,2,20,5,4,1,0.0,,0,,,1,3,400,2,1,3.0,1200.0,2
GT,SAN SEBASTIAN COATAN,2,1,24,5,3,1,0.0,,1,0.0,,0,3,1000,1,1,3.0,7000.0,2
GT,SAN SEBASTIAN COATAN,2,1,26,5,6,1,0.0,,0,,,0,3,500,2,1,3.0,4500.0,3
GT,SAN SEBASTIAN COATAN,2,1,27,5,6,1,0.0,,0,,,0,3,100,5,99,,,2
GT,SAN SEBASTIAN COATAN,2,2,30,1,5,1,0.0,,0,,,0,3,1600,2,99,,,3
GT,Caserio Tzimuk,1,1,22,5,7,1,0.0,,0,,,0,3,100,5,0,,,3
SLV,Caton elRosario,1,2,51,1,9,1,0.0,,1,0.0,,0,1,80,5,1,1.0,40.0,3
SLV,Cuevitas Norte,1,1,30,1,5,1,0.0,,1,0.0,,0,1,40,5,1,1.0,60.0,2
SLV,Los Silvas,1,1,25,1,3,1,0.0,,0,,,0,1,50,3,1,1.0,150.0,2
SLV,"Palo verde, caserio el valle",1,2,29,1,2,1,1.0,0.0,1,0.0,,1,1,100,2,0,,,3
SLV,"Canton el valle, palo verde",2,1,32,1,5,1,0.0,,0,,,0,1,100,2,0,,,2
SLV,Palo verde,1,1,31,1,3,1,0.0,,0,,,0,1,50,2,99,,,3
SLV,Canton tulapa,1,1,42,1,2,1,0.0,,1,0.0,,0,1,120,5,1,1.0,120.0,2
GT,Caserio el Basurero,1,1,52,5,10,1,1.0,0.0,1,0.0,,1,3,1000,4,0,,,3
GT,Bo. El Cerro,1,1,27,2,4,1,0.0,,0,,,0,3,200,1,1,3.0,60.0,3
HND,Sanjudas,1,2,43,4,5,1,0.0,,1,1.0,0.0,0,2,3000,3,0,,,3
SLV,Los magueyes,1,1,24,2,3,1,0.0,,0,,,0,1,50,2,99,,,3
HND,"Sulaco, Barrio San Ignacio de Loyola",2,1,45,1,4,1,0.0,,1,0.0,,2,2,2000,5,1,2.0,2000.0,3
GT,SACCHÉN,1,2,41,1,6,1,1.0,0.0,0,,,1,3,500,1,0,,,3
HND,La Pabellona,1,2,30,1,5,1,0.0,,1,0.0,,0,2,2000,5,1,2.0,2000.0,3
HND,La Pabellona,1,1,42,1,9,1,0.0,,0,,,0,2,1500,5,1,2.0,2000.0,3
HND,Yorito,2,1,34,2,2,1,0.0,,0,,,0,2,1000,5,0,,,3
GT,Barrio El  Conde,2,1,42,2,3,1,1.0,1.0,1,1.0,1.0,0,3,400,3,99,,,2
HND,Río abajo,1,1,44,2,5,1,0.0,,1,0.0,,1,2,400,5,1,2.0,1200.0,3
HND,Río abajo,1,2,61,3,3,1,0.0,,0,,,1,2,1200,4,1,2.0,1500.0,3
HND,Río abajo,1,1,68,1,4,1,0.0,,0,,,0,2,5000,2,1,2.0,6000.0,3
HND,Río abajo,1,2,24,1,7,1,1.0,1.0,1,0.0,,1,2,700,3,1,2.0,5000.0,3
GT,Aldea las conchas,1,1,28,1,4,1,0.0,,0,,,0,3,300,5,0,,,2
GT,San Agustin Viejo Chahal,1,1,35,1,6,1,0.0,,0,,,0,3,600,5,1,3.0,1000.0,3
HND,Sabana Grande,1,1,30,1,7,1,1.0,1.0,0,,,0,2,2000,5,1,2.0,3000.0,3
GT,Aldea chicoban,2,2,31,1,6,1,0.0,,1,0.0,,0,3,485,5,1,3.0,900.0,3
GT,La Isla,1,1,35,2,8,1,0.0,,1,0.0,,1,3,70000,3,1,3.0,1200.0,3
GT,La Isla,1,1,34,1,6,1,0.0,,0,,,0,3,900,5,1,3.0,1600.0,3
SLV,San Juan Buenavista,1,2,53,8,2,1,0.0,,0,,,0,1,75,3,1,1.0,150.0,3
SLV,San juan buenavista,1,1,55,5,6,1,0.0,,1,0.0,,0,1,50,5,0,,,3
HND,Invasión Alturas Celestiales,2,1,42,2,3,1,1.0,0.0,1,0.0,,2,2,2500,5,1,2.0,5000.0,3
HND,Invasión Alturas Celestiales,2,1,25,4,3,1,0.0,,1,0.0,,0,2,2000,5,1,2.0,6000.0,3
SLV,Canton el corozo,1,2,53,1,5,1,0.0,,1,0.0,,0,1,70,5,1,1.0,100.0,3
HND,Dulce nombre,1,1,33,1,5,1,1.0,1.0,0,,,0,2,4000,3,0,,,3
HND,El Encino,1,1,36,1,4,1,0.0,,0,,,0,2,2300,4,1,2.0,1200.0,3
HND,El Encino,1,2,37,7,4,1,1.0,1.0,1,1.0,1.0,1,2,4000,1,1,2.0,6900.0,2
HND,El Encino,1,1,34,1,5,1,1.0,1.0,0,,,0,2,2400,4,1,2.0,1500.0,3
HND,Sabanagrande,2,2,26,5,8,1,1.0,0.0,1,0.0,,2,2,4000,3,1,2.0,8000.0,3
HND,Sabanagrande,2,1,33,2,2,1,0.0,,0,,,0,2,1000,5,0,,,2
SLV,Cunchique,1,1,25,1,3,1,0.0,,1,0.0,,0,1,50,5,1,1.0,100.0,3
SLV,Tempisque,1,2,77,9,1,1,0.0,,0,,,1,1,30,3,1,1.0,190.0,2
GT,Barrio san José,2,1,58,2,3,1,0.0,,0,,,1,3,1600,4,0,,,3
HND,Caserio Santa Ines,1,2,28,3,4,1,0.0,,0,,,2,2,1500,5,0,,,3
HND,El Encino,1,2,54,5,7,1,0.0,,0,,,1,2,2000,2,1,2.0,2600.0,3
HND,El Encino,1,2,42,1,4,1,1.0,1.0,0,,,1,2,1800,3,1,2.0,1700.0,3
HND,Sabanagrande,2,1,29,1,3,1,0.0,,99,,,0,2,2500,2,99,,,2
GT,Yalpemech,1,1,29,1,6,1,1.0,0.0,0,,,0,3,200,5,0,,,3
SLV,Alta vista,2,1,48,1,5,1,0.0,,0,,,0,1,300,5,0,,,2
HND,Apacinigua,1,1,50,5,6,1,0.0,,1,0.0,,3,2,5000,5,99,,,2
HND,Apacinigua,1,1,31,1,4,1,0.0,,0,,,1,2,3000,5,99,,,3
HND,Apacinigua,1,1,23,1,3,1,0.0,,0,,,0,2,2500,1,99,,,2
GT,Aldea cooperativa sechaj,1,1,39,1,6,1,0.0,,0,,,1,3,500,5,1,3.0,6000.0,2
GT,Chirretzaaj zona 6,2,1,39,1,5,1,0.0,,1,0.0,,0,3,1400,5,1,3.0,1400.0,3
SLV,Colonia 10 de octubre,2,1,43,5,5,1,0.0,,0,,,0,1,100,5,0,,,3
SLV,Caserio Santo Domingo,1,1,27,1,4,1,0.0,,0,,,0,1,50,5,1,1.0,400.0,3
SLV,Santa Lucia,1,1,36,2,4,1,0.0,,1,0.0,,0,1,100,5,1,1.0,300.0,3
SLV,COLONIA SU CASA,2,2,33,9,1,1,0.0,,0,,,1,1,70,1,1,1.0,500.0,2
SLV,San Cristobal 1,1,1,49,1,3,1,0.0,,0,,,0,1,50,5,1,1.0,240.0,2
SLV,San Francisco,2,1,68,2,3,1,1.0,1.0,0,,,1,1,200,4,1,1.0,150.0,3
SLV,San cristobal 1,2,1,51,2,5,1,1.0,1.0,0,,,2,1,100,2,1,1.0,300.0,2
HND,La Bomba,2,1,21,2,4,1,0.0,,1,1.0,0.0,0,2,2500,5,0,,,2
HND,Fe y Esperanza,2,1,30,1,5,1,0.0,,1,0.0,,0,2,5000,4,1,2.0,5000.0,2
GT,Los arcos pradera,1,1,35,1,7,1,0.0,,1,0.0,,0,3,2500,4,1,3.0,3500.0,2
GT,Los arcos pradera,1,1,36,1,6,1,0.0,,1,0.0,,1,3,1700,4,1,3.0,1300.0,2
HND,COL. SAN JOSE,1,1,39,2,4,1,0.0,,1,99.0,,0,2,2000,4,1,2.0,5000.0,2
HND,"Baracoa, Campana",1,1,39,1,4,1,0.0,,0,,,0,2,2400,5,1,2.0,3000.0,2
HND,Campana,1,1,21,1,4,1,0.0,,1,1.0,0.0,0,2,3000,5,0,,,3
HND,Campana,1,1,34,1,7,1,0.0,,0,,,2,2,5000,5,1,2.0,4000.0,3
GT,LOS ARCOS,1,1,25,1,3,0,,,0,,,0,3,100,5,0,,,3
GT,Nueva reforma majadas,1,1,34,1,5,0,,,0,,,0,3,500,3,1,3.0,1000.0,3
GT,Nueva reforma majadas,1,1,19,1,3,0,,,1,0.0,,0,3,300,3,1,3.0,600.0,3
GT,Caserio Ixmoco,1,1,40,1,8,0,,,0,,,0,3,600,3,1,3.0,1000.0,3
GT,Caserio Ixmoco,1,1,42,1,7,0,,,0,,,0,3,1000,3,0,,,3
GT,Caserio Ixmoco,1,1,40,1,1,0,,,0,,,1,3,1000,1,0,,,3
GT,Caserio Ixmoco,1,1,44,2,2,0,,,0,,,0,3,800,3,1,3.0,1000.0,3
GT,El platanal,1,1,31,5,6,0,,,1,0.0,,1,3,1000,5,0,,,3
